year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,OO,SkyWest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",201.0,47.0,28.09,6.83,12.08,0.0,0.0,2.0,0.0,5089.0,3307.0,634.0,1148.0,0.0,0.0
2024,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1004.0,232.0,56.29,10.58,92.18,0.0,72.95,4.0,0.0,20067.0,4901.0,1333.0,6394.0,0.0,7439.0
2024,12,AA,American Airlines Network,JFK,"New York, NY: John F. Kennedy International",1155.0,258.0,70.5,5.37,94.54,1.24,86.36,2.0,2.0,22404.0,6889.0,374.0,5933.0,37.0,9171.0
2024,12,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",356.0,105.0,18.7,5.69,55.07,0.0,25.54,1.0,0.0,5740.0,1437.0,376.0,2304.0,0.0,1623.0
2024,12,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3142.0,887.0,289.74,3.37,245.13,0.03,348.72,33.0,5.0,70865.0,22955.0,442.0,12582.0,3.0,34883.0
2024,12,DL,Delta Air Lines Network,JFK,"New York, NY: John F. Kennedy International",2575.0,576.0,201.1,8.55,218.58,1.64,146.13,1.0,2.0,42690.0,18362.0,2435.0,9981.0,178.0,11734.0
2024,12,F9,Frontier Airlines,JFK,"New York, NY: John F. Kennedy International",186.0,51.0,19.24,1.26,21.39,0.0,9.11,0.0,0.0,2176.0,1046.0,89.0,625.0,0.0,416.0
2024,12,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",31.0,18.0,17.19,0.0,0.0,0.0,0.81,0.0,0.0,691.0,656.0,0.0,0.0,0.0,35.0
2024,12,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1621.0,357.0,86.05,13.87,177.89,1.0,78.19,9.0,1.0,22733.0,5734.0,907.0,10517.0,19.0,5556.0
2024,11,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1213.0,91.0,20.6,5.82,41.07,0.0,23.51,0.0,1.0,4999.0,1265.0,357.0,2032.0,0.0,1345.0
2024,11,AA,American Airlines Network,JFK,"New York, NY: John F. Kennedy International",1169.0,155.0,65.58,0.55,37.25,0.56,51.06,5.0,2.0,10475.0,4247.0,38.0,1533.0,9.0,4648.0
2024,11,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",331.0,43.0,13.29,0.0,18.4,1.0,10.31,1.0,0.0,2105.0,761.0,0.0,882.0,46.0,416.0
