year,month,weather_delay,precipitation,storm_count
2019,1,5625.0,4.01,7.0
2019,2,7983.0,3.56,2.0
2019,3,3223.0,3.96,4.0
2019,4,8427.0,4.48,2.0
2019,5,5922.0,6.76,0.0
2019,6,6647.0,5.33,0.0
2019,7,14321.0,5.39,10.0
2019,8,9299.0,3.16,1.0
2019,9,1320.0,1.1,0.0
2019,10,2228.0,4.68,2.0
2019,11,1046.0,1.53,3.0
2019,12,5528.0,8.03,0.0
2020,1,2684.0,1.93,3.0
2020,2,1166.0,3.41,3.0
2020,3,680.0,3.76,0.0
2020,4,176.0,3.29,3.0
2020,5,159.0,1.33,0.0
2020,6,137.0,3.16,2.0
2020,7,1221.0,5.16,3.0
2020,8,1572.0,2.82,1.0
2020,9,341.0,2.86,0.0
2020,10,323.0,4.98,0.0
2020,11,161.0,4.65,4.0
2020,12,1173.0,3.54,2.0
2021,1,454.0,2.28,1.0
2021,2,9500.0,4.77,4.0
2021,3,521.0,3.08,4.0
2021,4,3907.0,2.68,3.0
2021,5,1264.0,4.52,0.0
2021,6,8674.0,1.57,4.0
2021,7,9390.0,5.9,11.0
2021,8,4897.0,7.38,3.0
2021,9,8501.0,4.55,13.0
2021,10,3050.0,4.36,0.0
2021,11,3969.0,0.67,1.0
2021,12,4409.0,1.7,0.0
2022,1,6371.0,4.37,3.0
2022,2,7149.0,3.08,2.0
2022,3,3242.0,2.62,0.0
2022,4,7285.0,3.1,0.0
2022,5,9847.0,4.34,0.0
2022,6,11961.0,3.25,0.0
2022,7,7176.0,1.1,0.0
2022,8,11361.0,0.85,0.0
2022,9,6831.0,1.85,4.0
2022,10,4344.0,5.61,0.0
2022,11,4416.0,2.43,1.0
2022,12,11470.0,3.17,1.0
2023,1,6026.0,3.91,0.0
2023,2,6928.0,1.54,2.0
2023,3,7270.0,3.46,0.0
2023,4,9478.0,6.03,2.0
2023,5,6150.0,1.96,0.0
2023,6,18815.0,1.01,0.0
2023,7,27472.0,4.38,1.0
2023,8,13299.0,4.01,0.0
2023,9,13331.0,13.01,7.0
2023,10,1862.0,4.05,0.0
2023,11,2263.0,1.59,0.0
2023,12,3630.0,7.63,2.0
2024,1,13586.0,5.84,1.0
2024,2,4533.0,1.68,6.0
2024,3,6628.0,9.88,1.0
2024,4,6504.0,3.12,0.0
2024,5,8615.0,2.62,0.0
2024,6,13445.0,2.95,3.0
2024,7,9458.0,2.15,0.0
2024,8,18668.0,4.36,2.0
2024,9,3191.0,0.98,0.0
2024,10,1531.0,0.01,0.0
2024,11,1758.0,3.14,0.0
2024,12,6590.0,4.44,0.0
