"KENNEDY NY APRIL ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
This data is unofficial and for informational purposes only.",,,,,"Forecast Office New York, NY",,,,,,,,
"For official certified climate data, please contact the National Centers for Environmental Information (NCEI).
Last updated: February 4th, 2024",,,,,,,,,,,,,
,Normal,Normal,Normal,Record,,,Record,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,,Min T,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,,Year,Value,Year,Value,Year,Value,Year,
1-Apr,54,38,46,75,,1978,26,1969,1.62,1993,1.5,1997,
2-Apr,54,38,46,73,,1986,27,1964,1.35,1970,3.7,2018,
3-Apr,54,39,47,75,,1967,25,1954,1.31,1983,T,2016,
4-Apr,55,39,47,73,,2010,24,1954,1.36,1987,T,2016,
5-Apr,55,39,47,73,,1988,24,1995,2.15,1984,1,2006,
6-Apr,55,40,48,74,,2023,20,1982,1.27,1971,8,1982,
7-Apr,56,40,48,87,,2010,20,1982,0.85,1971,5.4,2003,
8-Apr,56,40,48,82,,1959,26,1982,0.98,2005,T,2009,
9-Apr,57,41,49,83,,2013,26,1977,3.15,1980,3.1,1996,
10-Apr,57,41,49,80,,1955,28,1997,2.33,1983,0.9,1996,
11-Apr,57,41,49,77,,1955,31,2018,0.83,2009,T,2000,
12-Apr,58,42,50,90,,1977,28,1976,1.48,2007,T,1962,
13-Apr,58,42,50,85,,2023,30,1950,2.43,2004,T,1950,
14-Apr,58,42,50,82,,2023,27,1950,0.74,1979,0.6,1950,
15-Apr,59,43,51,80,,2006,33,1962,2.6,2007,0.1,2014,
16-Apr,59,43,51,86,,2003,32,2014,2.3,1983,T,2014,
17-Apr,59,43,51,90,,2002,33,1980,1.05,1986,-,-,
18-Apr,60,44,52,86,,2002,35,2003,0.96,2022,T,2001,
19-Apr,60,44,52,84,,1985,34,2001,1.36,1978,1.5,1983,
20-Apr,61,45,53,83,,1952,35,1953,1.22,2009,T,1983,
21-Apr,61,45,53,84,,1957,34,1956,2.12,1991,T,2020,
22-Apr,61,45,53,82,,2001,36,2021,2.14,2012,T,2002,
23-Apr,62,46,54,87,,1973,34,1986,2.13,2006,T,2020,
24-Apr,62,46,54,79,,2008,34,1967,1.76,1983,T,1967,
25-Apr,62,46,54,88,,1960,35,1956,1.55,2010,T,1971,
26-Apr,63,46,55,86,,2009,37,1967,1.56,1973,-,-,
27-Apr,63,47,55,77,,1949,34,1967,1.48,1967,T,1967,
28-Apr,63,47,55,85,,2009,37,1966,2.71,1980,-,-,
29-Apr,63,47,55,85,,2017,36,1966,1.75,2023,-,-,
30-Apr,64,48,56,81,,2007,40,1975,4.68,2014,-,-,
,,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,,
Extremes,,,,Normals,,,,,,,,,
April,Value,Year,,April,,Value,,,,,,,
Max Avg T,55.4,2010,,Mean Max,,58.8,,,,,,,
Min Avg T,46.4*,1967/1956,,Mean Min,,42.9,,,,,,,
Max Precip,9.51,1983,,Mean Avg,,50.9,,,,,,,
Min Precip,1.12,1963,,Mean Precip,,3.55,,,,,,,
Max Snow,8.2,1982,,Mean Snow,,0.6,,,,,,,
* occurred in multiple years,,,,,,,,,,,,,
