"KENNEDY NY AUGUST ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
Data seen are considered preliminary.
For official data please, contact the National Centers for Environmental Information (NCEI). Last updated: October 8th, 2023",,,,,,,,"Forecast Office New York, NY",,,,
,Normal,Normal,Normal,Record,,Record,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,Min T,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,Year,Value,Year,Value,Year,Value,Year,
1-Aug,84,69,76,97,2006,60,1964,1.27,1996,-,-,
2-Aug,84,69,76,98,1975,59,1985,0.94,1986,-,-,
3-Aug,83,69,76,99,2006,56,1964,1.9,1948,-,-,
4-Aug,83,69,76,93,2006,57,1964,0.77,1979,-,-,
5-Aug,83,69,76,96,2010,59,1951,1.99,1967,-,-,
6-Aug,83,69,76,94,1955,57,1994,1.93,1990,-,-,
7-Aug,83,69,76,96,2001,59,2004,1,2019,-,-,
8-Aug,83,69,76,99,2001,58,1989,3.77,1976,-,-,
9-Aug,83,69,76,98,2001,57,1989,3.15,1976,-,-,
10-Aug,83,69,76,94,1949,54,1964,2.12,2012,-,-,
11-Aug,83,69,76,99,1949,57,1962,4.1,2004,-,-,
12-Aug,83,68,76,92,1970,55,1979,1.84,2018,-,-,
13-Aug,83,68,76,92,2005,56,1979,2.92,2014,-,-,
14-Aug,83,68,75,95,2016,57,1964,7.8,2011,-,-,
15-Aug,83,68,75,98,1988,57,1964,1.1,1966,-,-,
16-Aug,82,68,75,93,1997,55,1972,1.23,2002,-,-,
17-Aug,82,68,75,94,1978,56,1979,2.35,1992,-,-,
18-Aug,82,68,75,93,1995,58,1963,0.88,1994,-,-,
19-Aug,82,68,75,90,2009,53,1963,3.1,1960,-,-,
20-Aug,82,68,75,100,1983,55,1949,3.41,1991,-,-,
21-Aug,82,67,75,91,2005,50,1977,2.48,2015,-,-,
22-Aug,82,67,75,93,1976,56,1982,2.26,2021,-,-,
23-Aug,82,67,74,91,1978,57,1994,1.52,1970,-,-,
24-Aug,81,67,74,94,1995,55,1962,2.4,1975,-,-,
25-Aug,81,67,74,97,1969,54,1987,1.96,1967,-,-,
26-Aug,81,67,74,100,1948,53,1963,1.42,1969,-,-,
27-Aug,81,66,74,101,1948,59,1989,2.69,2011,-,-,
28-Aug,81,66,74,98,1973,53,1986,3.39,1983,-,-,
29-Aug,81,66,73,98,1953,51,1982,2.87,2002,-,-,
30-Aug,80,66,73,95,1973,51,1965,0.56,2008,-,-,
31-Aug,80,66,73,97,2010,46,1965,1.47,1949,-,-,
,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,
Extremes,,,,Normals,,,,,,,,
August,Value,Year,,August,Value,,,,,,,
Max Avg T,78.9,2016,,Mean Max,82.2,,,,,,,
Min Avg T,71.2,1957,,Mean Min,67.8,,,,,,,
Max Precip,17.41,1955,,Mean Avg,75,,,,,,,
Min Precip,0.22,1995,,Mean Precip,4.11,,,,,,,
Max Snow,-,-,,Mean Snow,0,,,,,,,
* occurred in multiple years,,,,,,,,,,,,
