"KENNEDY NY FEBRUARY ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
This data is unofficial and for informational purposes only.",,,,,"Forecast Office New York, NY",,,,,,,,
"For official certified climate data, please contact the National Centers for Environmental Information (NCEI).
Last updated: February 4th, 2024",,,,,,,,,,,,,
,Normal,Normal,Normal,Record,,,Record,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,,Min T,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,,Year,Value,Year,Value,Year,Value,Year,
1-Feb,40,26,33,64,,2012,4,1961,1.51,2008,11.9,2021,
2-Feb,40,26,33,56,,1973,-1,1961,1.22,1973,4.2,2015,
3-Feb,40,26,33,62,,1991,3,1955,1.44,1972,6.7,2014,
4-Feb,40,26,33,68,,1991,4,2023,1.93,1961,18.1,1961,
5-Feb,40,26,33,66,,1991,7,1996,1.2,2014,4.6,2016,
6-Feb,40,26,33,67,,2008,7,1995,1.42,2004,11,1978,
7-Feb,40,26,33,54,,2020,7,1993,1.36,1971,9.3,1967,
8-Feb,40,26,33,65,,2017,-2,1963,0.78,2013,6.6,1994,
9-Feb,41,26,34,60,,1949,8,1979,2.46,1969,19.9,1969,
10-Feb,41,27,34,60,,2023,6,1979,1.51,1970,10.9,2010,
11-Feb,41,27,34,62,,2009,3,1962,1.23,1983,14.1,1983,
12-Feb,41,27,34,61,,2022,4,1979,1.52,1988,15,2006,
13-Feb,41,27,34,56,,2023,0,1967,1.97,1966,5.5,2014,
14-Feb,41,27,34,62,,1990,1,2016,0.81,1950,2.5,1978,
15-Feb,42,27,35,64,,1954,5,2015,0.7,1992,2.7,1970,
16-Feb,42,28,35,64,,2023,5,2015,0.75,1980,6.7,1996,
17-Feb,42,28,35,65,,1976,5,1979,1.28,2003,21.6,2003,
18-Feb,42,28,35,67,,2011,2,1979,1.67,1960,4.3,2021,
19-Feb,42,28,35,68,,2017,9,2015,1.52,1972,10.2,1979,
20-Feb,43,28,35,64,,2018,3,2015,1.09,1981,1.8,2019,
21-Feb,43,28,36,65,,2018,5,1968,1.34,1989,4.5,2015,
22-Feb,43,29,36,64,,1991,9,1968,1.59,2003,6.9,2008,
23-Feb,43,29,36,69,,2022,9,2015,1.17,2010,6.1,1987,
24-Feb,44,29,36,62,,2017,7,2015,1.42,1975,4,2005,
25-Feb,44,29,37,65,,1996,12,1990,1.59,2010,2.9,2010,
26-Feb,44,29,37,60,,1996,9,1990,1.19,1979,8.5,2010,
27-Feb,44,30,37,71,,1997,9,1950,1,2020,1,2023,
28-Feb,45,30,37,66,,1976,11,2014,1.62,1984,10.1,1949,
29-Feb,,,,65,,1972,9,1980,0.67,1968,1.5,1968,
,,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,,
Extremes,,,,Normals,,,,,,,,,
February,Value,Year,,February,,Value,,,,,,,
Max Avg T,40.3*,2017/2012,,Mean Max,,41.7,,,,,,,
Min Avg T,24.5,2015,,Mean Min,,27.4,,,,,,,
Max Precip,6.02,2010,,Mean Avg,,34.5,,,,,,,
Min Precip,0.46,2002,,Mean Precip,,2.76,,,,,,,
Max Snow,32.1,2003,,Mean Snow,,8.6,,,,,,,
* occurred in multiple years,,,,,,,,,,,,,
