"KENNEDY NY JANUARY ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
This data is unofficial and for informational purposes only.",,,,,"Forecast Office New York, NY",,,,,,,,
"For official certified climate data, please contact the National Centers for Environmental Information (NCEI). Last updated: February 4th, 2024",,,,,,,,,,,,,
,Normal,Normal,Normal,Record,,,Record,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,,Min T,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,,Year,Value,Year,Value,Year,Value,Year,
1-Jan,41,28,35,62,,1966,7,2018,1.22,2022,6,1971,
2-Jan,41,28,34,59,,2022,6,1968,1.58,1987,2.4,2014,
3-Jan,41,28,34,60,,2000,9,2014,3.78,1999,5.5,2014,
4-Jan,40,28,34,62,,1950,3,2014,2.04,1982,8,2018,
5-Jan,40,28,34,62,,1993,9,2018,0.95,1949,3,1980,
6-Jan,40,27,34,71,,2007,7,2018,1.36,1962,4.7,1989,
7-Jan,40,27,34,61,,2012,4,2018,1.52,2009,12.4,1996,
8-Jan,40,27,33,58,,1949,1,1968,1.24,2007,9.6,1988,
9-Jan,40,27,33,65,,2008,0,1968,1.59,2024,4.4,1974,
10-Jan,40,27,33,58,,2016,2,2004,1.54,1977,6.6,1965,
11-Jan,40,26,33,59,,1975,5,1982,0.74,1991,4.5,1991,
12-Jan,39,26,33,68,,2020,3,1968,1.02,1991,4.2,2011,
13-Jan,39,26,33,58,,2017,8,1981,1.2,1964,13,1964,
14-Jan,39,26,33,60,,1950,5,1988,1.03,1968,5.3,1977,
15-Jan,39,26,33,58,,1995,2,2004,1.18,1999,3.6,2004,
16-Jan,39,26,33,58,,1953,1,2004,0.88,2021,6.1,1965,
17-Jan,39,26,32,55,,1973,-1,1982,1.18,1994,5.9,1985,
18-Jan,39,26,32,59,,1990,0,1982,1.62,2015,3,1984,
19-Jan,39,26,32,58,,1972,0,1994,0.96,2023,3.8,1978,
20-Jan,39,26,32,56,,2013,3,1994,1.66,1995,10.4,1978,
21-Jan,39,25,32,61,,2006,-2,1985,2.59,1979,6.8,2014,
22-Jan,39,25,32,55,,1973,6,2005,0.79,1987,8.2,2005,
23-Jan,39,25,32,56,,1967,2,1976,2.9,2016,30.3,2016,
24-Jan,39,25,32,64,,1967,5,1963,1.85,1979,3.4,2015,
25-Jan,39,25,32,55,,2024,5,1961,1.34,1978,6.2,2000,
26-Jan,39,25,32,69,,1950,9,2007,1.98,1986,6,2011,
27-Jan,39,25,32,65,,1974,2,1994,1.41,1976,5.6,2015,
28-Jan,39,25,32,60,,2002,6,2005,1.31,1994,4,2004,
29-Jan,39,25,32,69,,2002,3,1977,0.69,1973,9.3,2022,
30-Jan,39,25,32,62,,2006,7,2019,0.57,1990,5.2,1966,
31-Jan,39,26,33,58,,1974,3,2019,0.57,1949,3,1949,
,,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,,
Extremes,,,,Normals,,,,,,,,,
January,Value,Year,,January,,Value,,,,,,,
Max Avg T,41.8,2023,,Mean Max,,39.5,,,,,,,
Min Avg T,21.9,1977,,Mean Min,,26.2,,,,,,,
Max Precip,8.33,1979,,Mean Avg,,32.8,,,,,,,
Min Precip,0.21,1956,,Mean Precip,,3.23,,,,,,,
Max Snow,31.3,2016,,Mean Snow,,7.5,,,,,,,
