"KENNEDY NY JULY ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
Data seen are considered preliminary.
For official data please, contact the National Centers for Environmental Information (NCEI). Last updated: February 4th, 2024",,,,,,,,"Forecast Office New York, NY",,,,
,Normal,Normal,Normal,Record,,Record,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,Min T,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,Year,Value,Year,Value,Year,Value,Year,
1-Jul,82,67,75,102,1963,56,1988,1.04,1960,-,-,
2-Jul,83,67,75,101,1966,56,2001,1.15,1986,-,-,
3-Jul,83,67,75,104,1966,56,2001,1.73,1978,-,-,
4-Jul,83,68,75,101,2010,59,2021,3.06,1981,-,-,
5-Jul,83,68,75,102,1999,56,1979,2.18,1989,-,-,
6-Jul,83,68,76,101,2010,55,1979,1.03,2005,-,-,
7-Jul,83,68,76,100,2010,56,1965,1.92,2017,T,2009,
8-Jul,83,68,76,97,1971,59,2018,1.3,2005,-,-,
9-Jul,84,68,76,101,1993,55,1963,0.99,2021,-,-,
10-Jul,84,69,76,100,1993,58,2009,2.33,2020,-,-,
11-Jul,84,69,76,98,1966,61,2002,1.12,1965,-,-,
12-Jul,84,69,76,98,2011,58,1973,1.41,2006,-,-,
13-Jul,84,69,76,95,1954,58,1990,1.95,1975,-,-,
14-Jul,84,69,76,95,1983,61,1999,1.92,1960,-,-,
15-Jul,84,69,76,99,1983,59,1999,1.45,1961,-,-,
16-Jul,84,69,77,100,1983,60,1966,1.26,1989,-,-,
17-Jul,84,69,77,97,1969,61,1989,1.73,2005,-,-,
18-Jul,84,69,77,100,2013,58,1962,1.39,2023,-,-,
19-Jul,84,69,77,97,1963,61,1962,1.62,1988,-,-,
20-Jul,84,69,77,99,2019,57,1965,1.98,1961,-,-,
21-Jul,84,69,77,99,2019,58,1965,2.45,1948,-,-,
22-Jul,84,69,77,103,2011,59,1966,1.59,2019,-,-,
23-Jul,84,69,77,102,2011,59,1992,2.07,2019,-,-,
24-Jul,84,69,77,97,2010,58,1997,3.27,1997,-,-,
25-Jul,84,69,77,93,2010,59,1997,2.47,2016,-,-,
26-Jul,84,69,77,94,1982,58,1976,3.11,2000,-,-,
27-Jul,84,69,77,97,1963,59,2001,2.51,2004,-,-,
28-Jul,84,69,77,98,1949,57,1977,3.21,1969,-,-,
29-Jul,84,69,77,99,2002,61,1965,1.95,1980,-,-,
30-Jul,84,69,76,96,2002,59,1968,2.81,1960,-,-,
31-Jul,84,69,76,95,2002,58,1964,3.51,1996,-,-,
,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,
Extremes,,,,Normals,,,,,,,,
July,Value,Year,,July,Value,,,,,,,
Max Avg T,80.7,2010,,Mean Max,83.6,,,,,,,
Min Avg T,71.8,1956,,Mean Min,68.7,,,,,,,
Max Precip,8.81,1996,,Mean Avg,76.1,,,,,,,
Min Precip,0.46,1954,,Mean Precip,3.86,,,,,,,
Max Snow,T*,2009/1997,,Mean Snow,0,,,,,,,
* occurred in multiple years,,,,,,,,,,,,
