"KENNEDY NY NOVEMBER ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
This data is unofficial and for informational purposes only.",,,,,"Forecast Office New York, NY",,,,,,,,
"For official certified climate data, please contact the National Centers for Environmental Information (NCEI). Last updated: October 12th, 2023",,,,,,,,,,,,,
,Normal,Normal,Normal,Record,,,Record,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,,Min T,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,,Year,Value,Year,Value,Year,Value,Year,
1-Nov,59,44,52,80,,1950,36,1983,1.25,1988,-,-,
2-Nov,59,44,51,74,,1974,31,1965,0.9,1995,T,1992,
3-Nov,58,44,51,75,,2003,32,1980,1.71,1992,-,-,
4-Nov,58,43,51,77,,1975,29,1951,1.33,2004,-,-,
5-Nov,58,43,50,75,,1975,31,1951,1.11,2003,T,1986,
6-Nov,57,43,50,75,,2015,30,1962,1.42,1963,-,-,
7-Nov,57,42,50,80,,2022,25,1962,2.93,1963,4,2012,
8-Nov,56,42,49,74,,2020,28,1976,3.92,1972,0.3,2012,
9-Nov,56,42,49,74,,2020,25,2019,0.86,2018,T,1961,
10-Nov,56,41,49,72,,1999,25,2017,2.33,2000,T,1987,
11-Nov,55,41,48,69,,1949,24,2017,1.15,1984,0.4,1987,
12-Nov,55,41,48,72,,2022,25,2019,2.11,1975,0.2,2013,
13-Nov,55,40,48,71,,1964,23,2019,1.25,1970,T,2021,
14-Nov,54,40,47,68,,2005,24,2019,1.91,1972,T,2014,
15-Nov,54,40,47,77,,1993,20,1967,1.23,2016,4.8,2018,
16-Nov,54,40,47,72,,2001,20,1967,1.85,1985,T,2008,
17-Nov,53,39,46,68,,1953,26,1959,1.37,2014,0.2,1980,
18-Nov,53,39,46,69,,1975,21,1959,1.19,1968,T,2022,
19-Nov,53,39,46,64,,1994,23,2014,1.17,2003,0.4,1986,
20-Nov,52,39,45,73,,1985,25,1986,2.45,1988,T,2017,
21-Nov,52,38,45,66,,2020,19,1987,0.69,1975,T,2018,
22-Nov,52,38,45,67,,1983,18,2018,1.5,2011,0.5,1989,
23-Nov,51,38,44,71,,1992,15,2018,1.56,2006,3.2,1989,
24-Nov,51,37,44,64,,2014,21,2000,1.24,1980,T,2012,
25-Nov,51,37,44,67,,1979,22,2005,1.22,2018,0.2,1974,
26-Nov,50,37,44,66,,2020,24,1993,1.5,1996,0.1,2014,
27-Nov,50,37,43,63,,2020,23,1949,1.41,2013,1.7,1978,
28-Nov,50,36,43,66,,2001,21,1996,1.63,1980,0.1,1977,
29-Nov,49,36,43,64,,2017,16,1955,1.55,1971,2.6,1995,
30-Nov,49,36,42,64,,2005,19,1976,1.14,2020,2.1,1967,
,,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,,
Extremes,,,,Normals,,,,,,,,,
November,Value,Year,,November,,Value,,,,,,,
Max Avg T,52.7,1975,,Mean Max,,53.8,,,,,,,
Min Avg T,40.7,1976,,Mean Min,,39.8,,,,,,,
Max Precip,9.51,1972,,Mean Avg,,46.8,,,,,,,
Min Precip,0.32,1976,,Mean Precip,,3.07,,,,,,,
Max Snow,4.8,2018,,Mean Snow,,0.4,,,,,,,
