"KENNEDY NY OCTOBER ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
Data seen are considered preliminary.
For official data please, contact the National Centers for Environmental Information (NCEI). Last updated: February 5th, 2024",,,,,,,,"Forecast Office New York, NY",,,,,
,Normal,Normal,Normal,Record,,Record,,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,Min T,,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,Year,Value,Year,,Value,Year,Value,Year,
1-Oct,70,56,63,85,1986,41,1992,,2.02,2010,-,-,
2-Oct,70,55,63,95,2019,43,2009,,1.81,2015,-,-,
3-Oct,70,55,62,84,2002,40,2003,,1.8,2009,-,-,
4-Oct,69,54,62,84,1967,39,1996,,1.38,2022,-,-,
5-Oct,69,54,61,84,1967,36,1965,,1.21,1995,-,-,
6-Oct,68,54,61,88,1997,36,1965,,0.74,1981,-,-,
7-Oct,68,53,61,83,2007,39,1984,,2.81,1972,-,-,
8-Oct,68,53,60,90,2007,40,2001,,2.17,1996,-,-,
9-Oct,67,52,60,87,2011,35,2001,,1.22,1977,-,-,
10-Oct,67,52,59,86,1997,35,1979,,2.33,1971,T,1979,
11-Oct,67,52,59,80,1960,37,1979,,2.9,2002,-,-,
12-Oct,66,51,59,83,1969,38,1996,,4.09,2005,-,-,
13-Oct,66,51,58,79,1995,37,2012,,1.93,2005,-,-,
14-Oct,65,51,58,82,1990,37,1993,,4.66,2005,-,-,
15-Oct,65,50,58,82,1975,37,1999,,1.24,1970,-,-,
16-Oct,65,50,57,79,2008,39,2006,,1.84,1974,-,-,
17-Oct,64,49,57,82,1963,38,1970,,1.03,2006,-,-,
18-Oct,64,49,56,77,1964,37,1978,,1.56,1975,-,-,
19-Oct,64,49,56,86,2016,31,1976,,3.21,1966,-,-,
20-Oct,63,48,56,81,1969,32,1952,,2.69,1989,-,-,
21-Oct,63,48,55,81,1963,32,1974,,1.58,1988,-,-,
22-Oct,63,48,55,77,1984,37,2003,,1.42,2014,-,-,
23-Oct,62,47,55,77,1978,33,1969,,1.55,1990,-,-,
24-Oct,62,47,54,74,2017,32,1969,,1.14,1983,-,-,
25-Oct,61,47,54,77,2001,33,1962,,1.38,1980,-,-,
26-Oct,61,46,54,78,1971,32,1962,,3.24,2021,0.5,1962,
27-Oct,61,46,53,78,1963,31,1976,,0.93,1987,-,-,
28-Oct,60,45,53,81,2023,30,1976,,1.91,2008,T,2008,
29-Oct,60,45,53,80,1971,32,1965,,2.84,2017,1.5,2011,
30-Oct,60,45,52,79,1961,30,1962,,0.68,1993,T,2011,
31-Oct,59,44,52,75,1950,30,1966,,0.98,1989,-,-,
,,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,,
Extremes,,,,Normals,,,,,,,,,
October,Value,Year,,October,Value,,,,,,,,
Max Avg T,63.5,1971,,Mean Max,64.7,,,,,,,,
Min Avg T,52.4,1988,,Mean Min,49.8,,,,,,,,
Max Precip,14.97,2005,,Mean Avg,57.2,,,,,,,,
Min Precip,0.09,1963,,Mean Precip,3.72,,,,,,,,
Max Snow,1.5,2011,,Mean Snow,0,,,,,,,,
