"KENNEDY NY SEPTEMBER ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
This data is unofficial and for informational purposes only.",,,,,"Forecast Office New York, NY",,,,,,,,
"For official certified climate data, please contact the National Centers for Environmental Information (NCEI).
Last updated: October 9th, 2023",,,,,,,,,,,,,
,Normal,Normal,Normal,Record,,,Record,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,,Min T,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,,Year,Value,Year,Value,Year,Value,Year,
1-Sep,80,65,73,92,,2012,54,1985,2.56,2021,-,-,
2-Sep,80,65,73,93,,1973,53,1949,2.28,2002,-,-,
3-Sep,80,65,72,93,,2015,52,1967,1.51,1974,-,-,
4-Sep,79,65,72,93,,2018,53,1997,1.87,1969,-,-,
5-Sep,79,64,72,94,,1961,52,1989,0.59,1986,-,-,
6-Sep,79,64,72,93,,2023,52,1963,2.51,2008,-,-,
7-Sep,79,64,71,93,,1983,47,1962,0.98,1974,-,-,
8-Sep,78,64,71,92,,2010,50,1962,2.93,2004,-,-,
9-Sep,78,63,71,93,,1959,51,1986,0.77,2008,-,-,
10-Sep,78,63,70,98,,1983,50,1978,1.36,2020,-,-,
11-Sep,78,63,70,96,,1983,49,1967,1.56,1968,-,-,
12-Sep,77,62,70,91,,1981,46,1967,5.83,1960,-,-,
13-Sep,77,62,69,94,,1952,47,1963,1.55,1988,-,-,
14-Sep,77,62,69,89,,1995,48,1975,1.6,1973,-,-,
15-Sep,76,61,69,85,,2008,45,1975,1.69,2005,-,-,
16-Sep,76,61,69,89,,1991,47,1966,3.27,1999,-,-,
17-Sep,76,61,68,90,,1991,47,1950,1.88,1995,-,-,
18-Sep,75,60,68,90,,1965,46,1961,1.58,2012,-,-,
19-Sep,75,60,67,90,,1983,47,1959,1.78,1960,-,-,
20-Sep,75,60,67,85,,1997,41,1979,0.69,2001,-,-,
21-Sep,74,59,67,85,,2016,42,1962,4.49,1966,-,-,
22-Sep,74,59,66,91,,1980,41,1962,1.18,1994,-,-,
23-Sep,73,59,66,90,,1970,43,1963,1.66,1975,-,-,
24-Sep,73,58,66,92,,2017,40,1963,1.28,1975,-,-,
25-Sep,73,58,65,87,,2010,40,1950,1.4,1975,-,-,
26-Sep,72,57,65,87,,1970,47,1949,3.08,1975,-,-,
27-Sep,72,57,64,89,,1998,43,1957,2.48,1985,-,-,
28-Sep,72,57,64,82,,1948,44,1989,3.42,2004,-,-,
29-Sep,71,56,64,82,,1948,44,2000,8.05,2023,-,-,
30-Sep,71,56,63,84,,1986,42,1951,1.66,1983,-,-,
,,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,,
Extremes,,,,Normals,,,,,,,,,
September,Value,Year,,September,,Value,,,,,,,
Max Avg T,73*,2015/1961,,Mean Max,,75.8,,,,,,,
Min Avg T,63.1,1963,,Mean Min,,61,,,,,,,
Max Precip,13.01,2023,,Mean Avg,,68.4,,,,,,,
Min Precip,0.7,1951,,Mean Precip,,3.58,,,,,,,
Max Snow,-,-,,Mean Snow,,0,,,,,,,
* occurred in multiple years,,,,,,,,,,,,,
