"4/25/25, 10:37 PM                                                                                                              about:blank",,,,,,,,,,,,,,
,"Monthly Total Precipitation for JFK INTERNATIONAL AIRPORT, NY",,,,,,,,,,,,,
,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
,2003,1.77,4.48,3.56,3.14,4.01,9.23,2.31,2.28,2.67,3.42,3.91,3.99,44.77
,2004,1.92,2.22,3.24,5.50,4.31,3.05,6.62,7.36,8.25,1.26,3.71,3.51,50.95
,2005,3.39,2.52,4.25,4.83,1.78,2.08,5.21,0.58,2.16,14.97,4.05,3.73,49.55
,2006,4.36,2.22,1.22,4.68,4.29,6.41,5.06,2.66,2.58,4.87,4.54,1.91,44.80
,2007,3.09,1.37,3.64,6.98,2.20,5.35,5.29,5.88,1.11,5.27,2.34,4.39,46.91
,2008,2.33,4.70,3.60,2.75,3.25,3.55,3.30,3.21,6.74,3.52,3.34,5.97,46.26
,2009,2.85,0.98,1.92,4.24,4.39,7.74,3.57,3.50,3.16,5.87,1.41,6.25,45.88
,2010,1.67,6.02,8.62,3.38,1.98,1.36,2.44,3.12,4.38,4.42,1.95,3.13,42.47
,2011,3.55,3.20,4.55,4.30,3.16,2.09,2.71,17.24,4.21,4.40,3.24,3.13,55.78
,2012,2.19,1.26,1.13,2.97,7.08,6.88,1.54,4.03,4.05,2.22,1.56,4.94,39.85
,2013,2.39,2.73,2.32,1.78,4.03,7.95,2.26,2.73,1.92,0.33,2.54,4.50,35.48
,2014,3.01,4.59,4.26,6.98,3.60,2.61,4.83,4.23,1.43,3.69,4.48,7.04,50.75
,2015,5.31,2.35,4.88,1.61,0.46,4.99,2.31,3.63,2.58,4.20,1.20,4.79,38.31
,2016,4.59,4.05,1.39,1.24,3.71,1.61,6.06,0.62,2.87,3.33,3.48,3.06,36.01
,2017,4.64,1.58,5.79,4.06,5.83,4.20,4.65,2.50,2.20,4.21,1.80,1.65,43.11
,2018,1.84,5.93,5.08,3.30,4.07,3.88,4.75,4.68,5.99,3.32,7.80,6.76,57.40
,2019,4.01,3.56,3.96,4.48,6.76,5.33,5.39,3.16,1.10,4.68,1.53,8.03,51.99
,2020,1.93,3.41,3.76,3.29,1.33,3.16,5.16,2.82,2.86,4.98,4.65,3.54,40.89
,2021,2.28,4.77,3.08,2.68,4.52,1.57,5.90,7.38,4.55,4.36,0.67,1.70,43.46
,2022,4.37,3.08,2.62,3.10,4.34,3.25,1.10,0.85,1.85,5.61,2.43,3.17,35.77
,2023,3.91,1.54,3.46,6.03,1.96,1.01,4.38,4.01,13.01,4.05,1.59,7.63,52.58
,2024,5.84,1.68,9.88,3.12,2.62,2.95,2.15,4.36,0.98,0.01,3.14,4.44,41.17
,Mean,3.24,3.10,3.92,3.84,3.62,4.10,3.95,4.13,3.67,4.23,2.97,4.42,45.19
,Max,"5.84
2024","6.02
2010","9.88
2024","6.98
2007","7.08
2012","9.23
2003","6.62
2004","17.24
2011","13.01
2023","14.97
2005","7.80
2018","8.03
2019","57.40
2018"
,Min,"1.67
2010","0.98
2009","1.13
2012","1.24
2016","0.46
2015","1.01
2023","1.10
2022","0.58
2005","0.98
2024","0.01
2024","0.67
2021","1.65
2017","35.48
2013"
