EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5373259,QUEENS CO.,CENTRAL PORTION,06/14/2003,1530,Thunderstorm Wind,52, ,0,0,0,0,NY,EST,EG,1156617,C,81,OKX,0,0,EMERGENCY MANAGER, , , , , , , ,CENTRAL PORTION,06/14/2003,1530,40.7,-73.85,40.63333,-73.78333,"","
As a cluster of severe thunderstorms moved southeast, they produced damaging wind gusts, small hail, and torrential rain.

In Nassau County, high wind gusts downed a power line in Lattingtown and trees in Syosset, which were reported by local law enforcement.

In Queens, the NYC Office of Emergency Management reported numerous trees down in Jamaica and Briarwood.

In Suffolk County, a trained spotter reported numerous trees downed, small hail, and localized street flooding.",1
5334807,QUEENS CO.,BAYSIDE,07/22/2003,1540,Flash Flood, , ,0,0,0,0,NY,EST, ,1159585,C,81,OKX,0,0,TRAINED SPOTTER, , , , , , , ,BAYSIDE,07/22/2003,1610, , , , ,"
Spotters reported significant street flooding in Bayside Hills and Ridgewood.","",2
5374407,QUEENS CO.,NORTHWEST PORTION,08/04/2003,1630,Flash Flood, , ,0,0,0,0,NY,EST, ,1162176,C,81,OKX,0,0,EMERGENCY MANAGER, , , , , , , ,NORTHWEST PORTION,08/04/2003,1645, , , , ,"","
As a cold front moved slowly east and displaced warm, moist, and unstable air; lines of heavy showers and thunderstorms occurred.

Torrential rain resulted in widespread flash flooding of streets, low lying and poor drainage areas, mainly in 2 lines:  one line extending  across Western Staten Island northeast across Hudson County, NJ and another line extending from the Eastern Shores of Staten Island northeast across Western Brooklyn, Southern Manhattan, and Northwest Queens.  The highest rainfall rates were between 2 and 3 inches per hour.  The Storm Total Rainfall at LaGuardia Airport was 2.78 inches and at Central Park was 1.98 inches. 

The New York City Office of Emergency Management reported flooding of several main roads which resulted in partial closures of the FDR Drive at 116th Street in Manhattan, Sections of the Belt Parkway in Brooklyn, and Sections of the Brooklyn Queens Expressway in Queens along with the N and R Subway Tunnels flooded.  People waded through knee deep water near Carroll Street and Fourth Ave., which also flooded basements in Brooklyn.  Spotters reported significant street flooding in Annadale, where sewers and septics also backed up onto the streets.  In Rockland County, significant street flooding occurred on Route 59, west of Route 303 in West Nyack.",3
5335058,QUEENS CO.,EAST CENTRAL PORTION,09/23/2003,930,Flash Flood, , ,0,0,0,0,NY,EST, ,1163171,C,81,OKX,0,0,TRAINED SPOTTER, , , , , , , ,EAST CENTRAL PORTION,09/23/2003,1000, , , , ,"","
Showers and thunderstorms developed ahead of an approaching cold front on the morning of Tuesday, September 23rd. These storms produced areas of heavy rain that resulted in widespread rainfall amounts of between 1 and 1.5 inches with isolated locales receiving around 2 inches of rain. This created flooding problems across the lower Hudson Valley and in New York City. Several roads became impassable due to flooding and had to be at least partially closed. These included: the Pine Island Turnpike in Orange County, which was partially washed out near Goshen and Florida; several lanes on the FDR and Harlem River Drives in Manhattan; the Van Wyck Expressway in Queens, Ocean Parkway in Brooklyn and several local streets in Riverdale in the Bronx.",4
5413512,QUEENS CO.,CENTRAL PORTION,06/17/2004,1930,Flash Flood, , ,0,0,0,0,NY,EST, ,1176213,C,81,OKX,0,0,EMERGENCY MANAGER, , , , , , , ,CENTRAL PORTION,06/17/2004,2000, , , , ,"Major street flooding on the Long Island Expressway.","June 17th featured a nearly stationary warm front that was draped just north of the Tri-State area. The air just south of this front was very moist...with dewpoints in the 70s. During the afternoon...thunderstorms developed near this warm front and moved southeast at a slow rate of speed. These storms passed over portions of New York City and Long Island and produced torrential downpours. This caused flash flooding at several locations.",5
5413469,QUEENS CO.,NORTH PORTION,06/25/2004,1746,Flash Flood, , ,0,0,0,0,NY,EST, ,1176212,C,81,OKX,0,0,EMERGENCY MANAGER, , , , , , , ,NORTH PORTION,06/25/2004,1815, , , , ,"One car trapped in two feet of water at the intersection of Flushing Avenue and 5 Sixth Street.","A strong cold front crossed the tri-state area on this day. Fairly strong winds were present in the upper levels as well. This set the stage for the development of severe thunderstorms in the afternoon hours over the Lower Hudson Valley. These thunderstorms produced large hail and strong wind gusts. The thunderstorms moved east-southeast...and eventually produced flash flooding in New York City.",6
5413520,QUEENS CO.,NORTH PORTION,07/02/2004,1815,Flash Flood, , ,0,0,0,0,NY,EST, ,1176216,C,81,OKX,0,0,EMERGENCY MANAGER, , , , , , , ,NORTH PORTION,07/02/2004,1845, , , , ,"Bell Boulevard and 208 Place intersection flooded with two people having to be rescued from cars.","Thunderstorms developed in advance of a strong cold front on this day. The thunderstorms produced large hail as they moved through Southern New England. As they moved southeastward into the New York City area, the primary threat was very heavy rain, which caused flash flooding.",7
5413571,QUEENS CO.,CENTRAL PORTION,07/23/2004,2000,Heavy Rain, , ,0,1,0,0,NY,EST, ,1176220,C,81,OKX,0,0,NEWSPAPER, , , , , , , ,CENTRAL PORTION,07/23/2004,2100, , , , ,"Thunderstorms producing torrential rainfall aided in the collapse of an overpass on Grand Central Parkway.","",8
5418908,QUEENS CO.,COLLEGE PT,08/11/2004,1404,Flash Flood, , ,2,0,0,0,NY,EST, ,1178433,C,81,OKX,0,0,EMERGENCY MANAGER, , , , , , , ,COLLEGE PT,08/11/2004,1420, , , , ,"Flash flooding of roads occurred at College Point.  Two occupants of a vehicle were electrocuted by a fallen power line when they apparently stepped out of their vehicle into several feet of water.","
A cold front moved into a humid airmass over the tri-state area on August 11th.  Thunderstorms developed along this cold front during the afternoon.  Due to the moist airmass in place over the region, the thunderstorms became quite strong to severe.  They produced flash flooding, wind damage, and large hail.",9
5418909,QUEENS CO.,RICHMOND HILL,08/11/2004,1419,Lightning, , ,0,2,0,0,NY,EST, ,1178433,C,81,OKX,0,0,EMERGENCY MANAGER, , , ,4,SE,4,SE,RICHMOND HILL,08/11/2004,1419, , , , ,"Two children were struck by lightning at Jamaica Mall.  Both were hospitalized with injuries.","
A cold front moved into a humid airmass over the tri-state area on August 11th.  Thunderstorms developed along this cold front during the afternoon.  Due to the moist airmass in place over the region, the thunderstorms became quite strong to severe.  They produced flash flooding, wind damage, and large hail.",10
