EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1075122,NORTHERN QUEENS (ZONE), ,02/27/2023,2000,Winter Weather, , ,0,0,0,0,NY,EST-5, ,176829,Z,176,OKX,0,0,Official NWS Observations, , , , , , , , ,02/28/2023,800, , , , ,"A general 2 to 3 inches of snow was reported across the zone. LaGuardia reported 2.3 inches of snow, and a public report of 3.2 inches in Whitestone. A Cocorahs report came in at 2.5 inches at 0.3 SE Little Neck.","Weak high pressure and a marginally cold air mass was locked into the northeast with blocking to the north across Eastern Canada, while low pressure over the Midwest moved east and redeveloped off the Northern Mid Atlantic coast. This led to the first widespread accumulating snowfall across the CWA.",1
1075123,SOUTHERN QUEENS (ZONE), ,02/27/2023,2000,Winter Weather, , ,0,0,0,0,NY,EST-5, ,176829,Z,178,OKX,0,0,Official NWS Observations, , , , , , , , ,02/28/2023,800, , , , ,"A general 1 to 2 inches of snow fell across much of the zone. Kennedy airport reported 1.5 inches of snow, while Howard Beach reported 2.0 inches of snow from a Cocorahs report.","Weak high pressure and a marginally cold air mass was locked into the northeast with blocking to the north across Eastern Canada, while low pressure over the Midwest moved east and redeveloped off the Northern Mid Atlantic coast. This led to the first widespread accumulating snowfall across the CWA.",2
1092300,QUEENS CO.,FLUSHING ARPT,04/30/2023,1755,Flash Flood, , ,0,0,0,0,NY,EST-5, ,179339,C,81,OKX,0,0,Trained Spotter,Heavy Rain, , ,2,ENE,2,ENE,FLUSHING ARPT,04/30/2023,1825,40.7891,-73.7829,40.7903,-73.7824,"People stranded in vehicles on Cross Island Parkway and Bell Blvd.","Already saturated grounds from 1-3 inches of rain the previous days set the stage for a localized flash flooding event to unfold on April 30th when an additional 2-3 inches of rainfall fell over a period of several hours. A mesoscale moderate to locally heavy rain band with rainfall rates of 0.5 to 1 per hour set up over the NYC metro area during the afternoon of April 30th when a low pressure system was developing to the south of the area.",3
1092301,QUEENS CO.,BAYSIDE,04/30/2023,1850,Flash Flood, , ,0,0,0,0,NY,EST-5, ,179339,C,81,OKX,0,0,Public,Heavy Rain, , ,1,SW,1,SSW,BAYSIDE,04/30/2023,1920,40.7418,-73.7894,40.7429,-73.7855,"Two vehicles stranded on the Long Island Expressway at 188 St.","Already saturated grounds from 1-3 inches of rain the previous days set the stage for a localized flash flooding event to unfold on April 30th when an additional 2-3 inches of rainfall fell over a period of several hours. A mesoscale moderate to locally heavy rain band with rainfall rates of 0.5 to 1 per hour set up over the NYC metro area during the afternoon of April 30th when a low pressure system was developing to the south of the area.",4
1122703,QUEENS CO.,LITTLE NECK,07/16/2023,1206,Flash Flood, , ,0,0,0,0,NY,EST-5, ,183670,C,81,OKX,0,0,Law Enforcement,Heavy Rain, , ,1,SW,1,SSW,LITTLE NECK,07/16/2023,1236,40.76,-73.76,40.7634,-73.7553,"Portion of the Cross island Parkway near Northern Blvd closed due to flooding.","A stationary front near the area forced torrential thunderstorms in a tropical airmass resulting in widespread flash flooding in NY. The first round of thunderstorms occurred early in the morning on July 16th. Another round of thunderstorms occurred later in the afternoon. The tropical airmass had CAPE values 1500 - 2000 J/kg with PWATs 2.2-2.4 inches. The torrential thunderstorms produced rainfall rates as much as 3 inches an hour. Rainfall amounts totaled a widespread 2-4 inches across Long Island with localized spots seeing as much as 5 inches of rain.",5
1150433,SOUTHERN QUEENS (ZONE), ,07/28/2023,1900,Rip Current, , ,1,0,0,0,NY,EST-5, ,187404,Z,178,OKX,0,0,Broadcast Media, , , , , , , , ,07/28/2023,2100, , , , ,"Five teens went runing into the water at Jacob Riis Park in Queens around 8pm on Friday evening 7/28. One went farther than the others and went missing. His body washed ashore several hour later.","Persistent south to southwest winds with gusts of 25 to 35 kt around Bermuda high pressure brought 3 to 4 ft breaking surf and a high risk of rip currents to the local beaches Thursday, and moderate to high on Friday. In addition, hot and humid conditions had large crowds flocking to area beaches. Two rip current fatalities occurred in these conditions at non lifeguarded beaches on consecutive days 7/27 and 7/28 at NYC beaches.",6
1135748,QUEENS CO.,CORONA,09/29/2023,802,Flash Flood, , ,0,0,0,0,NY,EST-5, ,185266,C,81,OKX,0,0,Department of Highways,Heavy Rain, , ,1,NNW,1,N,CORONA,09/29/2023,832,40.7682,-73.8772,40.7687,-73.8669,"DOT reports flooding on runway drive both directions. 94th Street to Marine Terminal Road. All lanes closed and detoured.","An inverted trough extending from a low pressure system over the Western Atlantic provided a focus for persistent heavy convective rain to continually develop over the NYC metro and surrounding areas during much of the day on September 29th, 2023. In an environment with anomalously high moisture given the time of year, PWATs near 1.5-1.7 inches, rounds of heavy rainfall fell over the same areas for more than 12-18 hours. While the rainfall rates were generally 1 inch per hour or less, the persistence in the heavier rainfall resulted in a widespread total of 4-6 inches of rain with JFK receiving almost 9 inches of rain from the event. There were some brief periods of time where rainfall rates peaked at near 2 inches per hour. This resulted in widespread flash flooding across Southeast NY and Southern Connecticut.",7
1135749,QUEENS CO.,FOREST HILLS,09/29/2023,805,Flash Flood, , ,0,0,0,0,NY,EST-5, ,185266,C,81,OKX,0,0,Other Federal Agency,Heavy Rain, , ,2,SW,1,WSW,COLLEGE PT,09/29/2023,835,40.78,-73.87,40.7729,-73.8569,"FAA reports LGA Airport fuel farm flooded and unusable.","An inverted trough extending from a low pressure system over the Western Atlantic provided a focus for persistent heavy convective rain to continually develop over the NYC metro and surrounding areas during much of the day on September 29th, 2023. In an environment with anomalously high moisture given the time of year, PWATs near 1.5-1.7 inches, rounds of heavy rainfall fell over the same areas for more than 12-18 hours. While the rainfall rates were generally 1 inch per hour or less, the persistence in the heavier rainfall resulted in a widespread total of 4-6 inches of rain with JFK receiving almost 9 inches of rain from the event. There were some brief periods of time where rainfall rates peaked at near 2 inches per hour. This resulted in widespread flash flooding across Southeast NY and Southern Connecticut.",8
1135753,QUEENS CO.,CORONA,09/29/2023,834,Flash Flood, , ,0,0,0,0,NY,EST-5, ,185266,C,81,OKX,0,0,NWS Employee,Heavy Rain, , ,1,NNW,2,N,CORONA,09/29/2023,904,40.77,-73.88,40.7723,-73.8728,"Runway Drive between Marine Terminal Road and 94th Street closed due to flooding.","An inverted trough extending from a low pressure system over the Western Atlantic provided a focus for persistent heavy convective rain to continually develop over the NYC metro and surrounding areas during much of the day on September 29th, 2023. In an environment with anomalously high moisture given the time of year, PWATs near 1.5-1.7 inches, rounds of heavy rainfall fell over the same areas for more than 12-18 hours. While the rainfall rates were generally 1 inch per hour or less, the persistence in the heavier rainfall resulted in a widespread total of 4-6 inches of rain with JFK receiving almost 9 inches of rain from the event. There were some brief periods of time where rainfall rates peaked at near 2 inches per hour. This resulted in widespread flash flooding across Southeast NY and Southern Connecticut.",9
1135763,QUEENS CO.,CORONA,09/29/2023,900,Flash Flood, , ,0,0,0,0,NY,EST-5, ,185266,C,81,OKX,0,0,Emergency Manager,Heavy Rain, , ,1,NNW,1,NNW,CORONA,09/29/2023,930,40.77,-73.88,40.7664,-73.8799,"All westbound lanes closed on the Grand Central Parkway at 86th street.","An inverted trough extending from a low pressure system over the Western Atlantic provided a focus for persistent heavy convective rain to continually develop over the NYC metro and surrounding areas during much of the day on September 29th, 2023. In an environment with anomalously high moisture given the time of year, PWATs near 1.5-1.7 inches, rounds of heavy rainfall fell over the same areas for more than 12-18 hours. While the rainfall rates were generally 1 inch per hour or less, the persistence in the heavier rainfall resulted in a widespread total of 4-6 inches of rain with JFK receiving almost 9 inches of rain from the event. There were some brief periods of time where rainfall rates peaked at near 2 inches per hour. This resulted in widespread flash flooding across Southeast NY and Southern Connecticut.",10
